pcon,leftright,lower,upper,libauth,lower,upper,ons_id,pctright,pctauth
Brent North,0.261348068,0.228919078,0.291851732,0.27195375,0.232391377,0.30708708,E14000592,26.13480679,72.80462498
Brentford and Isleworth,0.252671042,0.220888433,0.279007463,0.342625729,0.311505904,0.378160015,E14000593,25.26710422,65.73742712
Brentwood and Ongar,0.289456497,0.259857098,0.322250819,0.314359034,0.279839604,0.349567847,E14000594,28.94564973,68.56409663
Bridgend,0.272900262,0.241670758,0.306627467,0.335499284,0.288892889,0.372512092,W07000073,27.29002621,66.45007156
Bridgwater and West Somerset,0.267441484,0.230720661,0.29954588,0.320596003,0.281944413,0.354645919,E14000595,26.74414839,67.94039966
Brigg and Goole,0.263701455,0.228581146,0.299413561,0.2771221,0.239756911,0.318662144,E14000596,26.37014554,72.28779004
"Brighton, Kemptown",0.255683308,0.228834862,0.285411823,0.354331812,0.311978778,0.389673303,E14000597,25.56833085,64.56681885
"Brighton, Pavilion",0.272206571,0.189038947,0.362611204,0.464137687,0.380503884,0.554545065,E14000598,27.22065714,53.58623135
Bristol East,0.247620987,0.218922276,0.281681159,0.362469362,0.323861284,0.398797004,E14000599,24.76209874,63.75306375
Bristol North West,0.262370044,0.227456459,0.296765775,0.391978632,0.357129742,0.43603643,E14000600,26.23700435,60.80213677
Bristol South,0.241819208,0.215188675,0.273830156,0.368940105,0.335264533,0.40598592,E14000601,24.18192077,63.10598954
Bristol West,0.250267125,0.20214976,0.292933216,0.489153007,0.441944848,0.545776936,E14000602,25.02671249,51.08469935
Broadland,0.286452058,0.258195293,0.314828325,0.320823996,0.278338617,0.356533482,E14000603,28.64520575,67.91760036
Bromley and Chislehurst,0.290705425,0.261968947,0.325169661,0.326939184,0.28771408,0.362944678,E14000604,29.0705425,67.30608157
Bromsgrove,0.28671344,0.260177577,0.319668381,0.318096632,0.278762415,0.356269552,E14000605,28.67134401,68.19033685
Broxbourne,0.277993884,0.248125855,0.30668771,0.298663175,0.262102879,0.337097785,E14000606,27.79938838,70.1336825
Broxtowe,0.265016916,0.227770542,0.293686611,0.355407777,0.316199467,0.395146171,E14000607,26.50169163,64.45922226
Buckingham,0.300404491,0.272458319,0.338459566,0.338672292,0.299075099,0.371103384,E14000608,30.04044911,66.13277085
Burnley,0.231622892,0.194916145,0.262284791,0.277420958,0.233258967,0.313647618,E14000609,23.16228918,72.25790419
Burton,0.256411877,0.224500687,0.282789387,0.293893705,0.257094413,0.329983291,E14000610,25.64118772,70.61062948
Bury North,0.251536822,0.222813562,0.278567665,0.304918597,0.266257331,0.343609536,E14000611,25.15368223,69.50814034
Bury South,0.253267923,0.22770156,0.288641038,0.310196489,0.274644638,0.344425172,E14000612,25.3267923,68.98035113
Bury St Edmunds,0.28072437,0.24681143,0.315165682,0.337900752,0.298998497,0.376202653,E14000613,28.07243701,66.20992476
Caerphilly,0.237710603,0.204448245,0.2698548,0.328421605,0.28843108,0.363919175,W07000076,23.77106031,67.15783951
"Caithness, Sutherland and Easter Ross",0.22188556,0.178998868,0.260347534,0.319399061,0.271543461,0.364191669,S14000009,22.18855602,68.06009389
Calder Valley,0.25857741,0.227896451,0.293202178,0.329840682,0.291776785,0.368332516,E14000614,25.85774101,67.01593183
Camberwell and Peckham,0.236932946,0.205126297,0.269992543,0.356424245,0.317738208,0.388469629,E14000615,23.69329457,64.35757551
Camborne and Redruth,0.261149195,0.230018519,0.291581953,0.333788768,0.295080832,0.365981054,E14000616,26.11491948,66.62112318
Cambridge,0.257286334,0.227842581,0.294467358,0.431214151,0.390159576,0.473469184,E14000617,25.72863345,56.87858487
Cannock Chase,0.26785918,0.241695804,0.293409953,0.279619286,0.242902484,0.313874036,E14000618,26.78591795,72.03807136
Canterbury,0.276180841,0.241011112,0.310417144,0.377288736,0.33902066,0.419893364,E14000619,27.61808413,62.27112636
Cardiff Central,0.261146393,0.222714868,0.301374771,0.410969744,0.362232764,0.451959631,W07000050,26.11463929,58.9030256
Cardiff North,0.279019217,0.244400923,0.31849556,0.385031669,0.346062866,0.423163347,W07000051,27.90192174,61.49683308
Cardiff South and Penarth,0.247622761,0.212802622,0.284421444,0.357462868,0.319015463,0.393108592,W07000080,24.76227615,64.25371321
Cardiff West,0.243653851,0.212741649,0.276644566,0.34986009,0.306019581,0.386600917,W07000079,24.36538509,65.01399096
Carlisle,0.254602243,0.225911376,0.284040627,0.289722775,0.253242343,0.324477139,E14000620,25.46022426,71.02772246
Carmarthen East and Dinefwr,0.23100259,0.180512397,0.285713308,0.31948611,0.261807461,0.381909253,W07000067,23.100259,68.051389
Carmarthen West and South Pembrokeshire,0.269707388,0.235806682,0.304112239,0.313450229,0.268799868,0.349493081,W07000066,26.97073883,68.65497707
Carshalton and Wallington,0.263735799,0.229699203,0.303190955,0.307217393,0.27096094,0.344087899,E14000621,26.37357987,69.27826074
Castle Point,0.287674891,0.255908962,0.321755938,0.275921214,0.236426428,0.314081106,E14000622,28.76748909,72.4078786
Central Ayrshire,0.23418006,0.198201537,0.262468152,0.337890176,0.306834243,0.375715282,S14000010,23.41800598,66.21098238
Central Devon,0.285452817,0.258187794,0.318221477,0.356567571,0.321511743,0.394775148,E14000623,28.54528167,64.34324295
Central Suffolk and North Ipswich,0.292810413,0.267974055,0.324776312,0.319620317,0.284176566,0.349582747,E14000624,29.28104128,68.03796834
Ceredigion,0.234049224,0.177564931,0.287820871,0.358327677,0.29893415,0.416695538,W07000064,23.40492244,64.16723227
Charnwood,0.289759766,0.26285151,0.331002657,0.319810934,0.285943405,0.358629989,E14000625,28.97597657,68.01890662
Chatham and Aylesford,0.273048707,0.240459163,0.304275837,0.305625478,0.265793236,0.343827281,E14000626,27.3048707,69.43745216
Cheadle,0.277562404,0.23714171,0.313753408,0.332548796,0.292450024,0.370700201,E14000627,27.75624037,66.74512036
Chelmsford,0.275260633,0.239737519,0.304225872,0.342072614,0.307451277,0.373119129,E14000628,27.52606335,65.7927386
Chelsea and Fulham,0.292387839,0.253720285,0.326939077,0.381468982,0.33620206,0.421534715,E14000629,29.23878388,61.85310182
Cheltenham,0.277025597,0.242777243,0.310852979,0.383348132,0.346630648,0.428877613,E14000630,27.70255968,61.66518679
Chesham and Amersham,0.302716963,0.273731728,0.339740644,0.354828846,0.315519944,0.395103905,E14000631,30.27169628,64.51711544
Chesterfield,0.241388791,0.209629962,0.276068255,0.323074623,0.281955164,0.361161388,E14000632,24.13887906,67.69253765
Chichester,0.289414235,0.255850994,0.318645806,0.338448127,0.305106165,0.378763075,E14000633,28.94142349,66.15518729
Chingford and Woodford Green,0.278896778,0.247551959,0.316857278,0.309174717,0.26531907,0.350086146,E14000634,27.8896778,69.08252826
Chippenham,0.272729296,0.240308603,0.302652496,0.352095711,0.314212357,0.392997302,E14000635,27.27292962,64.79042889
Chipping Barnet,0.284696777,0.25629968,0.317942082,0.336983639,0.299290918,0.369557798,E14000636,28.46967769,66.30163612
Chorley,0.219426539,0.174217406,0.265435324,0.340593515,0.282459962,0.384909138,E14000637,21.94265385,65.94064845
Christchurch,0.29433655,0.263818791,0.329027975,0.317806364,0.280352964,0.348163977,E14000638,29.433655,68.21936358
Cities of London and Westminster,0.275861809,0.239721547,0.310843111,0.350814241,0.298469265,0.395014764,E14000639,27.58618092,64.91857594
City of Chester,0.255372653,0.225816759,0.293215074,0.351989835,0.314761826,0.38815038,E14000640,25.53726531,64.80101648
City of Durham,0.248590828,0.206112191,0.281252752,0.36655209,0.32506802,0.402044268,E14000641,24.85908281,63.34479101
Clacton,0.274579491,0.242845864,0.309096464,0.258671194,0.217809459,0.290934779,E14000642,27.45794913,74.13288059
Cleethorpes,0.264097051,0.23435441,0.308200691,0.277219479,0.235212932,0.316533256,E14000643,26.40970511,72.2780521
Clwyd South,0.252039112,0.216800857,0.285633061,0.308938951,0.260464369,0.345729088,W07000062,25.20391123,69.10610485
Clwyd West,0.270949814,0.239976734,0.305956336,0.320154796,0.278574794,0.363802028,W07000059,27.09498143,67.98452036
"Coatbridge, Chryston and Bellshill",0.205757585,0.17325791,0.236179597,0.340127848,0.305846445,0.382721965,S14000011,20.57575848,65.98721518
Colchester,0.266868079,0.241196149,0.296287464,0.350845308,0.318979751,0.38909247,E14000644,26.6868079,64.91546917
Colne Valley,0.256410635,0.221624343,0.287102311,0.328345334,0.290442983,0.365427579,E14000645,25.64106354,67.16546662
Congleton,0.281081408,0.250193231,0.31582166,0.315925946,0.279366601,0.354645734,E14000646,28.10814084,68.40740538
Copeland,0.255121099,0.22368506,0.28528949,0.297398386,0.258968913,0.337947898,E14000647,25.51210993,70.26016141
Corby,0.249658034,0.217759049,0.27804207,0.320780123,0.282790234,0.355580392,E14000648,24.9658034,67.92198772
Coventry North East,0.23438667,0.202995281,0.266485025,0.293674063,0.257118491,0.3308013,E14000649,23.43866702,70.63259369
Coventry North West,0.258038969,0.228319239,0.288332081,0.307089549,0.265729117,0.339619448,E14000650,25.80389685,69.29104515
Coventry South,0.261579611,0.23213302,0.287981879,0.340196871,0.302989536,0.375531853,E14000651,26.15796106,65.9803129
Crawley,0.260499189,0.233156888,0.285155567,0.305774909,0.264711829,0.340885102,E14000652,26.04991887,69.42250907
Crewe and Nantwich,0.255955182,0.23129795,0.287526323,0.319315018,0.283674829,0.366542915,E14000653,25.5955182,68.06849821
Croydon Central,0.256399591,0.224871719,0.281893561,0.315833439,0.278097244,0.345431741,E14000654,25.63995911,68.41665608
Croydon North,0.246515516,0.213272036,0.275263188,0.314044959,0.271215555,0.349581583,E14000655,24.65155157,68.59550413
Croydon South,0.29320778,0.258427972,0.325314818,0.329449541,0.291318115,0.360236093,E14000656,29.32077799,67.05504586
"Cumbernauld, Kilsyth and Kirkintilloch East",0.20974236,0.171654907,0.245896051,0.35027465,0.302763911,0.388885867,S14000012,20.97423595,64.97253503
Cynon Valley,0.232720098,0.198128295,0.264485425,0.321049117,0.287607059,0.364541313,W07000070,23.27200985,67.89508825
Dagenham and Rainham,0.24382026,0.205666235,0.274790052,0.281934281,0.245116655,0.317738208,E14000657,24.38202596,71.80657187
Darlington,0.243554596,0.210665448,0.276846238,0.314658392,0.275887895,0.354971089,E14000658,24.35545956,68.53416077
Dartford,0.27114594,0.239791941,0.303673019,0.304672045,0.264703892,0.340534773,E14000659,27.11459402,69.53279554
Daventry,0.281251298,0.247779844,0.315424828,0.332744831,0.297324486,0.370890216,E14000660,28.12512978,66.72551694
Delyn,0.265910819,0.235048981,0.298725108,0.32644732,0.281018684,0.365833593,W07000042,26.5910819,67.35526798
Denton and Reddish,0.231890952,0.195876442,0.260848768,0.297398844,0.265734048,0.338312374,E14000661,23.1890952,70.26011564
Derby North,0.253109904,0.220721981,0.284155535,0.351070106,0.311809552,0.396524145,E14000662,25.31099039,64.89298935
Derby South,0.223781455,0.192160828,0.250945884,0.304269402,0.265199807,0.343459238,E14000663,22.37814549,69.57305984
Derbyshire Dales,0.275072569,0.238293912,0.305580172,0.351875439,0.317365772,0.393075506,E14000664,27.50725692,64.81245613
Devizes,0.284961287,0.257468032,0.31778919,0.350144712,0.307851723,0.38997654,E14000665,28.49612867,64.98552877
Dewsbury,0.241776516,0.210465193,0.273752712,0.298241607,0.26022622,0.333511208,E14000666,24.17765156,70.17583932
Don Valley,0.234754087,0.197040016,0.265491563,0.299949886,0.260461284,0.340269569,E14000667,23.47540868,70.00501142
Doncaster Central,0.228689685,0.196273737,0.26316164,0.297927245,0.261089831,0.336925215,E14000668,22.86896847,70.20727548
Doncaster North,0.217107584,0.184675091,0.251884585,0.293565837,0.25035805,0.336584008,E14000669,21.71075843,70.64341634
Dover,0.268930141,0.240839233,0.301613541,0.309487582,0.276809506,0.344522555,E14000670,26.89301413,69.0512418
Dudley North,0.252822863,0.219999327,0.287608567,0.264498137,0.222901398,0.300985913,E14000671,25.28228626,73.55018628
Dudley South,0.262467374,0.230415399,0.290073125,0.273495611,0.238463045,0.312276318,E14000672,26.24673736,72.65043887
Dulwich and West Norwood,0.256353431,0.219523449,0.294449441,0.412115372,0.372534307,0.455193724,E14000673,25.63534315,58.78846279
Dumfries and Galloway,0.245709893,0.212899054,0.274308746,0.32283006,0.285396175,0.358372178,S14000013,24.57098925,67.71699404
